Running Sim0_1
Waf: Entering directory `/home/kajihara/backoff/build'
Waf: Leaving directory `/home/kajihara/backoff/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.420s)
Uplink interval:+294000.0ns Downlink interval:+0.0ns
ApplicationTxStart: 1 Duration: 5
nBss: 1 nStas/Bss: 10 => nStas: 10
BO 3317722 10 11
CW 3323191 4 15
BO 3323191 4 6
BO 3328642 3 9
BO 3334093 2 5
CW 3339571 5 15
BO 3339571 5 0
BO 3339571 5 14
BO 3345022 4 1
BO 3350473 2 15
CW 3355983 4 31
BO 3355983 4 22
CW 3355983 10 31
BO 3355983 10 23
BO 3361327 1 10
BO 3366778 3 12
CW 3372247 9 15
BO 3372247 9 12
CW 3377811 5 31
BO 3377811 5 17
CW 3377811 1 31
BO 3377811 1 22
CW 3383232 2 31
BO 3383232 2 24
CW 3383232 3 31
BO 3383232 3 18
BO 3388594 9 2
BO 3394063 9 13
CW 3399532 4 15
BO 3399532 4 7
CW 3404983 10 15
BO 3404983 10 8
BO 3410488 4 2
CW 3415939 5 15
BO 3415939 5 1
BO 3421390 10 8
CW 3426900 5 31
BO 3426900 5 13
CW 3426900 4 31
BO 3426900 4 3
CW 3426900 9 31
BO 3426900 9 1
CW 3432253 3 15
BO 3432253 3 3
CW 3437763 1 63
BO 3437763 1 32
CW 3437763 7 255
BO 3437763 7 101
CW 3443107 9 15
BO 3443107 9 0
BO 3443107 9 2
CW 3448626 3 31
BO 3448626 3 23
CW 3448626 4 63
BO 3448626 4 10
BO 3453970 9 10
CW 3459480 2 63
BO 3459480 2 37
CW 3459480 10 31
BO 3459480 10 10
CW 3464833 8 15
BO 3464833 8 3
BO 3470311 8 6
CW 3475771 5 15
BO 3475771 5 4
CW 3481290 4 127
BO 3481290 4 68
CW 3481290 9 31
BO 3481290 9 27
CW 3486711 5 31
BO 3486711 5 16
CW 3486711 8 31
BO 3486711 8 13
CW 3486711 10 63
BO 3486711 10 54
CW 3492136 3 15
BO 3492136 3 8
CW 3497632 1 15
BO 3497632 1 0
BO 3497632 1 11
BO 3503101 3 8
CW 3508561 6 15
BO 3508561 6 3
CW 3514030 8 15
BO 3514030 8 5
BO 3519481 6 1
CW 3525000 6 31
BO 3525000 6 5
CW 3525000 2 127
BO 3525000 2 127
CW 3525000 5 63
BO 3525000 5 10
CW 3530403 9 63
BO 3530403 9 55
CW 3530403 1 31
BO 3530403 1 26
CW 3530403 3 31
BO 3530403 3 4
BO 3535756 8 12
CW 3541234 6 15
BO 3541234 6 0
BO 3541234 6 8
CW 3546685 3 15
BO 3546685 3 12
CW 3552163 5 15
BO 3552163 5 1
BO 3557623 5 15
CW 3563142 8 31
BO 3563142 8 12
CW 3563142 6 31
BO 3563142 6 15
BO 3568522 3 15
CW 3574104 1 63
BO 3574104 1 62
CW 3574104 5 31
BO 3574104 5 2
CW 3579475 8 15
BO 3579475 8 14
CW 3585003 6 63
BO 3585003 6 56
CW 3585003 3 31
BO 3585003 3 21
CW 3585003 5 63
BO 3585003 5 60
CW 3590347 10 15
BO 3590347 10 12
CW 3595825 4 15
BO 3595825 4 2
BO 3601294 4 14
BO 3606772 8 12
BO 3612232 10 14
CW 3617737 7 15
BO 3617737 7 15
CW 3623188 9 15
BO 3623188 9 15
CW 3628698 3 63
BO 3628698 3 57
CW 3628698 4 31
BO 3628698 4 6
BO 3634051 8 1
BO 3639511 8 14
BO 3644971 10 4
CW 3650440 4 15
BO 3650440 4 2
BO 3655900 10 11
BO 3661351 4 13
BO 3666811 7 0
BO 3666811 7 3
BO 3672262 9 10
BO 3677731 7 2
BO 3683182 8 2
BO 3688642 7 1
BO 3694093 8 3
CW 3699603 7 31
BO 3699603 7 16
CW 3699603 10 31
BO 3699603 10 7
CW 3705024 8 31
BO 3705024 8 16
CW 3705024 4 31
BO 3705024 4 29
CW 3705024 9 31
BO 3705024 9 8
CW 3710431 10 15
BO 3710431 10 5
CW 3715882 6 15
BO 3715882 6 12
CW 3721342 1 15
BO 3721342 1 8
CW 3726802 5 15
BO 3726802 5 15
BO 3732253 10 6
CW 3737781 7 63
BO 3737781 7 9
CW 3737781 9 63
BO 3737781 9 29
BO 3743143 1 14
BO 3748594 10 13
BO 3754045 6 0
BO 3754045 6 15
CW 3759514 8 15
BO 3759514 8 1
BO 3764974 8 3
BO 3770434 5 15
CW 3775885 7 15
BO 3775885 7 11
BO 3781336 8 5
CW 3786805 3 15
BO 3786805 3 12
CW 3792315 1 31
BO 3792315 1 30
CW 3792315 10 31
BO 3792315 10 28
BO 3797668 8 4
CW 3803178 4 63
BO 3803178 4 5
CW 3803178 6 31
BO 3803178 6 2
CW 3808608 8 31
BO 3808608 8 27
CW 3808608 7 31
BO 3808608 7 23
CW 3813952 2 15
BO 3813952 2 4
CW 3819471 5 31
BO 3819471 5 15
CW 3819471 6 63
BO 3819471 6 12
BO 3824824 3 13
CW 3830334 2 31
BO 3830334 2 8
CW 3830334 4 127
BO 3830334 4 97
CW 3835687 9 15
BO 3835687 9 8
CW 3841269 9 31
BO 3841269 9 24
CW 3841269 2 63
BO 3841269 2 6
CW 3846613 6 15
BO 3846613 6 7
BO 3852064 3 12
CW 3857524 5 15
BO 3857524 5 9
CW 3862993 10 15
BO 3862993 10 2
CW 3868503 7 63
BO 3868503 7 14
CW 3868503 2 127
BO 3868503 2 48
CW 3873906 1 63
BO 3873906 1 38
CW 3873906 6 31
BO 3873906 6 21
BO 3879250 10 0
